Sex,Age,Citizenship,2007 January,2007 February,2007 March,2007 April,2007 May,2007 June,2007 July,2007 August,2007 September,2007 October,2007 November,2007 December,2008 January,2008 February,2008 March,2008 April,2008 May,2008 June,2008 July,2008 August,2008 September,2008 October,2008 November,2008 December,2009 January,2009 February,2009 March,2009 April,2009 May,2009 June,2009 July,2009 August,2009 September,2009 October,2009 November,2009 December,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2012 January**,2012 February**,2012 March**,2012 April**,2012 May**,2012 June**,2012 July**,2012 August**,2012 September**,2012 October**,2012 November**,2012 December**,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2015 January*,2015 February*,2015 March*,2015 April*,2015 May*,2015 June*,2015 July*,2015 August*,2015 September*,2015 October*,2015 November*
Male,Total age,Turkish,15,15,10,10,5,5,15,5,5,10,15,10,5,10,5,10,5,5,10,5,10,10,15,5,10,5,5,10,0,10,5,5,5,0,5,5,5,5,10,5,10,10,5,10,10,5,5,0,10,15,5,5,10,5,10,5,5,5,10,5,5,10,10,5,5,5,10,10,5,5,10,5,5,10,5,5,5,0,5,0,10,0,0,5,5,5,10,5,5,0,5,0,5,0,5,5,5,5,5,0,5,0,5,0,5,10,5
Male,Total age,Ugandan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,5,5,5,5,5,0,0,0,0,5,0,5,5,5,5,5,5,0,0,5,5,0,5,5,5,5,5,5,5,0,10,0,5,10,0,5,5,5,10,10,5,5,5,10,10,0,5,5,10,5,10,10,15,20,5,5,5,5,5,0,5,0,5,5,5,5,5,10,10,0,5,10,5,5,10
Male,Total age,Belorussian,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,10,10,5,5,0,0,5,0,5,10,0,5,5,15,5,10,5,5,15,25,25,35,30,45,25,15,5,0,5,5,0,0,0,5,5,0,5,5,0,5,0,5,5,5,5,5,5,5,5,10,5,0,5,5,5,5,5,5,5,0,5,0,0,5,0,5,0,5,10,5,0,5
Male,Total age,Stateless / unknown,35,35,30,25,40,40,30,20,35,25,25,15,20,45,15,20,20,25,25,25,40,50,25,25,50,65,30,40,40,35,45,25,30,40,25,25,45,55,40,40,35,25,35,50,25,40,60,35,45,35,40,50,45,40,25,50,45,25,35,30,40,30,35,20,20,40,20,35,35,40,45,40,30,20,30,30,20,25,30,20,60,60,65,55,75,55,80,110,235,160,245,320,430,375,170,155,70,35,40,60,100,125,150,250,315,575,315
Female,Total age,Afghan,25,20,20,15,15,20,15,20,15,10,5,0,15,20,10,15,15,20,15,20,15,35,20,20,25,45,40,35,25,20,25,25,30,35,45,40,70,35,50,30,25,30,25,35,65,45,70,45,45,40,55,65,60,80,100,95,60,85,70,40,60,45,50,50,50,40,40,30,30,40,35,25,30,35,50,40,30,45,50,25,35,45,25,25,20,30,20,25,20,30,15,35,30,25,30,25,25,25,20,20,30,20,35,40,60,135,240
Female,Total age,Albanian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,5,0,5,0,5,5,10,20,15,60,120,45
Female,Total age,Armenian,15,5,0,5,0,5,5,0,5,5,10,5,5,5,5,0,5,10,15,10,20,15,10,10,15,15,10,5,20,10,15,15,20,20,20,20,20,45,25,20,10,20,20,15,30,25,45,35,25,10,30,25,15,20,20,30,30,20,25,25,5,30,15,5,5,5,5,10,5,15,15,10,15,10,10,15,10,10,15,5,10,20,0,15,15,5,5,10,5,5,10,5,5,5,10,10,0,10,0,10,5,5,0,5,5,5,5
Female,Total age,Azerbaijani,5,5,0,5,0,5,5,0,10,0,0,0,5,10,5,5,0,5,5,0,10,5,5,0,5,5,0,0,5,5,5,5,0,10,15,5,10,0,5,5,0,5,0,0,5,5,0,0,15,5,5,0,0,10,5,0,10,5,0,5,5,0,5,0,0,0,5,5,5,0,0,5,5,5,5,5,5,5,0,0,0,5,5,5,5,0,0,0,5,0,5,5,5,5,0,5,10,0,0,0,5,0,0,0,5,5,0
Female,Total age,Bosnian,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,15,0,0,0,0,5,0,0,10,0,0,5,5,5,5,5,5,10,10,0,5,0,5,0,5,5,0,0,5,0,5,0,5,0,0,0,0,10
Female,Total age,Burundian,10,10,10,10,5,5,0,10,10,5,5,5,5,5,5,10,5,5,5,10,0,15,5,5,5,0,0,5,0,5,0,5,5,5,5,0,5,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0
Female,Total age,Chinese,15,10,5,5,5,10,10,10,10,10,10,10,10,10,20,55,45,5,10,5,10,5,10,5,25,10,15,15,5,5,10,20,10,20,20,10,10,10,10,5,5,15,10,10,10,15,15,10,10,15,15,15,10,5,15,10,10,10,10,15,10,5,10,5,5,10,10,5,10,10,5,10,5,10,10,10,5,5,0,5,5,5,5,5,5,5,5,0,5,5,10,5,5,5,5,0,10,35,20,5,5,15,0,0,10,10,5
Female,Total age,Congolese,0,5,0,0,0,0,5,5,5,5,10,0,5,0,5,5,0,5,5,0,5,5,0,0,0,10,5,0,5,5,0,5,0,5,5,5,5,10,5,10,5,0,0,15,5,5,5,5,5,5,0,0,5,5,5,0,5,0,5,5,5,5,10,5,0,0,0,10,5,5,10,15,0,0,0,5,0,0,0,5,10,5,5,10,10,5,5,5,0,5,0,5,5,5,5,0,5,0,5,0,0,0,0,0,5,5,5
Female,Total age,Egyptian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,5,0,5,0,0,5,0,0,0,0,5,0,20,10,5,0,5,0,5,10,5,10,10,0,5,0,5,5,0,5,5,5,5,0,5,0,0,0,0,0,5,5,0,5,0,5,0,0,5,0
Female,Total age,Eritrean,5,5,10,5,5,10,0,5,10,10,10,10,10,5,5,5,15,5,0,10,10,15,15,20,0,10,10,15,10,10,15,10,20,10,15,10,15,15,5,10,5,10,10,15,25,25,35,10,20,10,5,5,15,20,25,20,45,30,25,15,35,10,15,25,10,20,20,30,25,25,15,20,25,35,20,15,15,15,25,30,30,40,40,20,45,25,20,205,420,70,25,30,20,30,25,15,15,10,30,105,345,405,325,460,280,475,105
Female,Total age,Ethiopian,5,0,0,5,0,5,5,0,0,0,0,0,0,0,0,5,5,0,5,5,0,5,5,0,0,0,5,0,5,5,0,0,0,0,10,5,5,5,5,5,0,5,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,5,5,5,5,0,5,10,5,0,0,5,0,0,0,5,5,0,5,0,5,0,0,10,5,0,5,5,5,0,5,0,5,5,5,5,0,0,0,0,0,0,0,5,5,5,5,10,0,5,5
Female,Total age,Georgian,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,5,10,10,15,30,55,35,75,5,5,5,5,5,5,5,5,5,0,5,10,10,0,5,5,5,5,10,0,0,5,0,10,5,0,5,0,5,5,10,0,5,5,0,0,0,0,0,0,5,5,0,0,0,10,0,5,0,5,0,5,5,0,10,0,5,0,0,5,5,0,5,0,5,0,10,5
Female,Total age,Guinean,5,5,5,5,5,15,5,10,5,5,10,5,5,5,5,5,5,5,10,10,5,10,15,5,10,10,10,10,5,5,0,10,5,10,10,15,10,10,10,10,5,5,10,5,15,10,15,10,15,10,10,5,5,20,10,10,10,10,10,10,5,5,10,5,10,15,10,5,5,15,10,15,5,15,5,5,10,10,10,5,5,10,5,5,15,5,10,10,5,5,5,5,10,5,5,0,5,5,10,0,5,5,0,0,5,10,5
Female,Total age,Indian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,Total age,Iraqi,80,35,40,40,45,35,40,70,70,95,80,75,120,100,55,90,105,140,145,155,140,175,100,75,70,45,70,30,35,55,60,45,85,85,95,85,80,60,75,60,70,60,40,25,50,60,65,35,50,45,45,50,65,75,65,70,65,60,60,45,65,65,65,50,50,45,55,80,55,80,75,75,50,25,30,25,15,20,15,25,20,40,15,15,15,25,15,30,10,30,40,40,45,60,25,40,30,25,25,15,10,15,25,35,70,225,220
Female,Total age,Iranian,20,10,15,10,5,0,0,10,15,5,10,0,5,10,5,10,5,10,10,10,10,15,20,25,15,5,5,5,15,15,15,10,15,20,35,35,40,20,25,30,20,20,15,20,35,40,50,20,45,35,20,25,35,30,45,35,45,50,40,35,35,45,30,50,30,35,30,50,30,50,50,45,45,35,35,40,25,35,35,35,35,35,30,25,25,25,20,30,25,25,25,20,20,20,15,15,20,20,15,15,15,25,25,15,40,100,150
Female,Total age,Ivorian,5,5,0,5,5,5,5,5,5,10,5,5,0,0,5,5,5,5,5,5,5,5,0,0,0,5,0,0,0,0,0,5,0,5,5,5,5,0,5,5,5,5,5,5,5,0,0,0,5,5,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,5,0,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,Total age,Cameroonian,0,0,0,0,0,5,5,0,5,0,5,0,0,5,5,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,5,5,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Female,Total age,Kosovar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,5,5,5,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,10,0,5,20,50,35,25,20,15,10
Female,Total age,Libyan,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,5,5,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,5,0,0,0,5,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0
Female,Total age,Macedonian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,15,0,0,20,25,55,25,15,10,0,0,5,55,50,5,0,0,5,5,0,0,5,0,5,0,0,0,0,0,5,5,5,5,0,5,5,5,5,5,5,5,0,5,5,5,10,0,10,10,5,5,0,5,5,0,0,5,0,5,5,0,0,10,5,5,0,5,5
Female,Total age,Malian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,Total age,Moroccan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,5,0,0,5,5,5,5,5,5
Female,Total age,Mongolian,0,5,5,0,5,5,5,5,10,0,5,0,5,0,5,5,0,5,5,5,10,5,10,5,10,10,10,10,15,15,5,10,5,15,10,10,10,15,10,5,5,10,10,20,10,10,10,5,5,0,5,0,5,10,5,10,10,5,5,5,10,10,5,5,10,5,5,5,5,5,0,5,0,0,5,10,5,5,5,0,5,5,10,5,20,15,25,25,25,15,5,25,15,20,35,20,20,10,20,20,15,35,25,10,5,25,5
Female,Total age,Myanmarese,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,10,10,5,5,5,5,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,Total age,Nepalese,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,15,10,0,5,0,0,0,5,0,0,0,0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,5,5,5,5,0,0,10,0,0,5,5,5,0,5,0,5,0,0,5,0,5,0,5,5,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Female,Total age,Nigerian,5,10,5,10,10,10,0,0,10,5,0,0,5,5,5,0,5,0,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,10,5,5,5,0,0,0,10,5,5,5,10,5,5,5,0,5,0,5,5,5,0,5,0,5,5,5,0,5,5,5,0,5,5,5,5,10,5,10,5,5,0,5,10,5,5,5,0,10,10,5,10,5,10,15,10,5,10,10,5,5,5,10,5,10,5,5,10,20,5,5
Female,Total age,North Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,5,5,10,5,5,5,5,5,5,5,10,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,Total age,Ukrainian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,5,5,5,15,10,20,20,5,15,5,10,10,5,10,15,5,15,10,35,30
Female,Total age,Pakistani,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,5,0,5,0,0,0,0,0,5,0,5,5,5,0,0,5,0,0,0,5,0,5,5,0,5,5,5,0,5,0,10,15,0,15,5,5,5,5,5,0,0,0,5,0,5,5,0,0,10,5,5,0,5,0,0,5,15,0,5,5,10,10,10,5,0,0,15,0,5,5,5,0
Female,Total age,Russian,5,0,0,10,0,5,0,0,5,5,0,5,5,5,5,5,5,5,10,5,5,10,0,5,5,5,0,5,5,5,5,10,5,10,5,10,10,10,5,15,5,5,10,10,10,10,10,5,10,10,15,10,10,15,15,15,30,25,35,25,30,55,35,35,20,20,60,40,20,25,20,10,15,15,5,10,5,5,5,5,15,25,15,10,5,5,5,10,5,5,5,0,0,10,10,10,5,5,5,0,0,10,10,0,5,5,5
Female,Total age,Citizen of Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,5,5,0,0,0,0,0,0,0,5,5,5,0,0,0,5,0,5,5,0,15,5,5,10,5,0,5,5,5,0,5,5,15,10,5,0,5,15,15,20,10,10,15,20,5,5,5,10,10,0,0,5,5,5,5,20,10,10,10,10,10,5,15,10,10,5,10,40,35
Female,Total age,Sierra Leonan,5,10,15,5,15,15,5,10,15,5,5,5,10,5,5,5,10,10,5,5,5,5,10,0,5,15,0,5,5,5,5,5,10,15,10,10,5,5,5,10,15,5,0,5,5,0,5,5,10,5,5,0,0,5,0,10,10,5,5,5,5,5,5,0,5,0,5,0,0,5,10,10,5,0,10,5,5,5,5,5,5,5,10,5,10,5,5,10,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,5,0,0
Female,Total age,Sudanese,5,5,0,5,0,5,0,5,5,0,5,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,10,5,5,5,5,0,0,5,0,0,5,0,10,0,0,0,0,5,10,15,5,5,10,5,0,5,0,5,0,15,5,10,0,5,0,5,5,5,5,5,5,5,5,5,0,10,5,5,5,0,0,5,5,5,0,5,0,0,0,5,0,0,5,5,0,0,5,5,0,0
Female,Total age,Somali,75,60,85,55,40,50,60,75,70,80,50,45,100,95,150,95,85,125,215,170,170,165,160,160,175,160,195,200,120,190,160,150,195,230,150,130,115,100,150,130,100,130,120,200,195,245,215,150,140,75,70,70,105,40,55,60,45,40,45,45,80,55,45,50,35,60,40,30,50,50,45,65,35,40,40,30,35,85,45,40,50,60,80,80,40,50,20,15,10,10,15,15,20,15,10,10,20,15,15,10,15,10,10,5,15,20,25
Female,Total age,Sri Lankan,0,0,0,0,5,5,0,5,5,0,0,5,0,5,5,0,5,5,0,0,10,5,5,5,5,5,5,5,5,0,10,0,5,10,5,10,10,5,10,0,10,5,0,0,5,5,10,5,0,5,5,0,5,5,5,10,0,5,5,5,0,0,0,10,5,5,0,0,10,10,5,20,5,5,5,5,0,5,5,5,5,5,10,5,0,5,5,5,5,0,0,0,0,0,0,5,0,0,5,5,0,5,0,0,5,0,0
Female,Total age,Syrian,5,5,10,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,5,0,5,5,0,5,5,0,0,5,0,0,5,0,5,0,0,0,5,5,0,0,0,5,0,5,10,10,5,0,5,0,0,5,5,10,10,10,5,5,5,10,5,5,15,10,5,5,30,50,40,25,40,35,40,45,40,45,55,55,80,95,110,95,105,60,70,155,130,210,230,220,340,135,80,110,60,45,60,60,80,150,185,435,635,1135,730
Female,Total age,Turkish,5,5,5,0,5,0,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,5,5,0,0,5,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,5,5,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,0,5,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Female,Total age,Ugandan,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,5,5,0,0,5,5,5,5,0,5,0,0,10,0,0,5,10,5,0,10,5,0,5,5,5,0,10,5,0,5,5,5,5,5,5,5,0,5,5,5,10,5,5,5,5,5,5,10,0,5,10,5,5,10,5,10,10,10,5,10,5,5,5,0,5,5,5,5,5,5,5,5,10,5,5,10
Female,Total age,Belorussian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,5,5,15,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,Total age,Stateless / unknown,30,25,20,25,15,35,15,20,10,25,15,5,10,25,10,10,15,15,20,15,40,30,15,20,25,30,15,20,25,30,25,25,30,30,30,10,20,30,35,25,25,20,20,25,25,35,20,25,45,30,35,25,40,30,20,50,30,20,25,15,30,25,30,15,15,25,25,15,35,25,15,35,10,20,10,20,15,20,15,15,45,55,40,15,30,20,25,40,95,70,115,155,175,90,60,55,15,15,15,15,40,35,40,100,120,235,200
